id,publicaddress,caseNumber,precinct,reportedDate,reportedDateTime,offense,description,centerLong,centerLat,centerX,centerY,neighborhood
9785,39TH AVE N / EMERSON AVE N,MP2023178307,4,2023/07/07 00:00:00+00,2023/07/07 09:22:00+00,AUTOTH,AUTOMOBILE THEFT,-93.2944,45.02579,-10385484.88,5625582.513,Webber - Camden
9790,0052XX 44TH AVE S,MP2023178350,3,2023/07/07 00:00:00+00,2023/07/07 09:42:00+00,AUTOTH,AUTOMOBILE THEFT,-93.21011,44.9081,-10376102.22,5607065.782,Minnehaha
9793,0018XX 2ND AVE S,MP2023178393,5,2023/07/07 00:00:00+00,2023/07/07 10:50:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27403,44.96459,-10383217.85,5615947.847,Steven's Square - Loring Heights
9795,0025XX PARK AVE,MP2023178438,3,2023/07/07 00:00:00+00,2023/07/07 16:49:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26513,44.95643,-10382226.86,5614664.146,Phillips West
9796,0019XX ELLIOT AVE,MP2023178441,3,2023/07/07 00:00:00+00,2023/07/07 17:12:00+00,AUTOTH,AUTOMOBILE THEFT,-93.26106,44.96332,-10381773.86,5615748.579,Ventura Village
9798,0043XX WENTWORTH AVE,MP2023178468,5,2023/07/07 00:00:00+00,2023/07/07 15:35:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28053,44.92414,-10383941.49,5609587.276,King Field
9802,FRANKLIN AVE W / BLAISDELL AVE,MP2023178569,5,2023/07/07 00:00:00+00,2023/07/07 14:30:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27941,44.96269,-10383816.15,5615650.112,Steven's Square - Loring Heights
9804,0006XX HURON BLVD SE,MP2023178659,2,2023/07/07 00:00:00+00,2023/07/07 17:43:00+00,AUTOTH,AUTOMOBILE THEFT,-93.22283,44.96976,-10377518.18,5616761.729,Prospect Park - East River Road
9807,9TH ST S / 2ND AVE S,MP2023178721,1,2023/07/07 00:00:00+00,2023/07/07 19:22:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27115,44.97381,-10382897.19,5617399.547,Downtown West
9808,0027XX GRAND AVE S,MP2023178749,5,2023/07/07 00:00:00+00,2023/07/07 17:37:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28425,44.95285,-10384355.24,5614101.192,Whittier
9809,0026XX DUPONT AVE S,MP2023178767,5,2023/07/07 00:00:00+00,2023/07/07 17:55:00+00,AUTOTH,AUTOMOBILE THEFT,-93.29315,44.95465,-10385346.02,5614384.161,Lowry Hill East
9812,0032XX 17TH AVE S,MP2023178855,3,2023/07/07 00:00:00+00,2023/07/07 20:10:00+00,AUTOTH,AUTOMOBILE THEFT,-93.24993,44.94383,-10380534.9,5612683.444,Powderhorn Park
9815,0006XX 28TH ST W,MP2023178972,5,2023/07/07 00:00:00+00,2023/07/07 21:13:00+00,AUTOTH,AUTOMOBILE THEFT,-93.28744,44.95195,-10384709.8,5613960.716,Whittier
9838,0013XX THOMAS AVE N,MP202315461,4,2023/01/20 00:00:00+00,2023/01/20 14:12:00+00,AUTOTH,AUTOMOBILE THEFT,-93.31334,44.99244,-10387593.87,5620331.3,Willard - Hay
9840,0014XX 22ND AVE NE,MP2023159969,2,2023/01/20 00:00:00+00,2023/01/20 22:14:00+00,AUTOTH,AUTOMOBILE THEFT,-93.23908,45.00958,-10379326.74,5623030.459,Audubon Park
9843,0033XX NICOLLET AVE,MP202316205,5,2023/01/21 00:00:00+00,2023/01/21 04:38:00+00,AUTOTH,AUTOMOBILE THEFT,-93.27792,44.94214,-10383650.43,5612416.539,Lyndale
